price,year,day,day_of_week,month
0.001415,2017,09,Thursday,11
0.001163,2017,10,Friday,11
0.001201,2017,11,Saturday,11
0.001038,2017,12,Sunday,11
0.001211,2017,13,Monday,11
0.001184,2017,14,Tuesday,11
0.001339,2017,15,Wednesday,11
0.00139,2017,16,Thursday,11
0.001313,2017,17,Friday,11
0.001373,2017,18,Saturday,11
0.001376,2017,19,Sunday,11
0.001394,2017,20,Monday,11
0.001389,2017,21,Tuesday,11
0.001823,2017,22,Wednesday,11
0.001891,2017,23,Thursday,11
0.001908,2017,24,Friday,11
0.002072,2017,25,Saturday,11
0.002026,2017,26,Sunday,11
0.001988,2017,27,Monday,11
0.002363,2017,28,Tuesday,11
0.00208,2017,29,Wednesday,11
0.002079,2017,30,Thursday,11
0.002148,2017,01,Friday,12
0.002149,2017,02,Saturday,12
0.002223,2017,03,Sunday,12
0.002463,2017,04,Monday,12
0.002479,2017,05,Tuesday,12
0.002663,2017,06,Wednesday,12
0.00272,2017,07,Thursday,12
0.002779,2017,08,Friday,12
0.002617,2017,09,Saturday,12
0.002547,2017,10,Sunday,12
0.002798,2017,11,Monday,12
0.003304,2017,12,Tuesday,12
0.003461,2017,13,Wednesday,12
0.003709,2017,14,Thursday,12
0.003762,2017,15,Friday,12
0.005933,2017,16,Saturday,12
0.005984,2017,17,Sunday,12
0.006433,2017,18,Monday,12
0.005666,2017,19,Tuesday,12
0.006661,2017,20,Wednesday,12
0.007425,2017,21,Thursday,12
0.006054,2017,22,Friday,12
0.007259,2017,23,Saturday,12
0.008582,2017,24,Sunday,12
0.008931,2017,25,Monday,12
0.009411,2017,26,Tuesday,12
0.008872,2017,27,Wednesday,12
0.008486,2017,28,Thursday,12
0.009391,2017,29,Friday,12
0.00786,2017,30,Saturday,12
0.008972,2017,31,Sunday,12
0.008909,2018,01,Monday,01
0.009145,2018,02,Tuesday,01
0.00932,2018,03,Wednesday,01
0.009644,2018,04,Thursday,01
0.012167,2018,05,Friday,01
0.014863,2018,06,Saturday,01
0.017088,2018,07,Sunday,01
0.015045,2018,08,Monday,01
0.01342,2018,09,Tuesday,01
0.013102,2018,10,Wednesday,01
0.011469,2018,11,Thursday,01
0.013056,2018,12,Friday,01
0.013023,2018,13,Saturday,01
0.011684,2018,14,Sunday,01
0.009857,2018,15,Monday,01
0.006822,2018,16,Tuesday,01
0.007648,2018,17,Wednesday,01
0.007969,2018,18,Thursday,01
0.007871,2018,19,Friday,01
0.008448,2018,20,Saturday,01
0.007131,2018,21,Sunday,01
0.006734,2018,22,Monday,01
0.006673,2018,23,Tuesday,01
0.007083,2018,24,Wednesday,01
0.007667,2018,25,Thursday,01
0.007237,2018,26,Friday,01
0.007373,2018,27,Saturday,01
0.007465,2018,28,Sunday,01
0.006967,2018,29,Monday,01
0.006024,2018,30,Tuesday,01
0.00601,2018,31,Wednesday,01
0.005029,2018,01,Thursday,02
0.004475,2018,02,Friday,02
0.005164,2018,03,Saturday,02
0.004399,2018,04,Sunday,02
0.003533,2018,05,Monday,02
0.004361,2018,06,Tuesday,02
0.004297,2018,07,Wednesday,02
0.004566,2018,08,Thursday,02
0.005,2018,09,Friday,02
0.004989,2018,10,Saturday,02
0.004956,2018,11,Sunday,02
0.005472,2018,12,Monday,02
0.005638,2018,13,Tuesday,02
0.00673,2018,14,Wednesday,02
0.007347,2018,15,Thursday,02
0.007034,2018,16,Friday,02
0.007049,2018,17,Saturday,02
0.006424,2018,18,Sunday,02
0.006697,2018,19,Monday,02
0.007094,2018,20,Tuesday,02
0.006581,2018,21,Wednesday,02
0.006259,2018,22,Thursday,02
0.006648,2018,23,Friday,02
0.006324,2018,24,Saturday,02
0.006142,2018,25,Sunday,02
0.006339,2018,26,Monday,02
0.006291,2018,27,Tuesday,02
0.006018,2018,28,Wednesday,02
0.006215,2018,01,Thursday,03
0.005482,2018,02,Friday,03
0.005301,2018,03,Saturday,03
0.005502,2018,04,Sunday,03
0.005218,2018,05,Monday,03
0.00461,2018,06,Tuesday,03
0.004024,2018,07,Wednesday,03
0.004025,2018,08,Thursday,03
0.004146,2018,09,Friday,03
0.003973,2018,10,Saturday,03
0.00421,2018,11,Sunday,03
0.004032,2018,12,Monday,03
0.00396,2018,13,Tuesday,03
0.003524,2018,14,Wednesday,03
0.003536,2018,15,Thursday,03
0.00351,2018,16,Friday,03
0.003299,2018,17,Saturday,03
0.00319,2018,18,Sunday,03
0.00344,2018,19,Monday,03
0.003651,2018,20,Tuesday,03
0.003659,2018,21,Wednesday,03
0.003528,2018,22,Thursday,03
0.00356,2018,23,Friday,03
0.00359,2018,24,Saturday,03
0.003505,2018,25,Sunday,03
0.003289,2018,26,Monday,03
0.003145,2018,27,Tuesday,03
0.003141,2018,28,Wednesday,03
0.002827,2018,29,Thursday,03
0.002763,2018,30,Friday,03
0.002819,2018,31,Saturday,03
0.002719,2018,01,Sunday,04
0.002797,2018,02,Monday,04
0.00298,2018,03,Tuesday,04
0.00277,2018,04,Wednesday,04
0.002714,2018,05,Thursday,04
0.00267,2018,06,Friday,04
0.002802,2018,07,Saturday,04
0.002843,2018,08,Sunday,04
0.002763,2018,09,Monday,04
0.003043,2018,10,Tuesday,04
0.003396,2018,11,Wednesday,04
0.003798,2018,12,Thursday,04
0.003995,2018,13,Friday,04
0.00415,2018,14,Saturday,04
0.004571,2018,15,Sunday,04
0.004585,2018,16,Monday,04
0.004744,2018,17,Tuesday,04
0.005412,2018,18,Wednesday,04
0.005824,2018,19,Thursday,04
0.005893,2018,20,Friday,04
0.005413,2018,21,Saturday,04
0.005539,2018,22,Sunday,04
0.005482,2018,23,Monday,04
0.0058,2018,24,Tuesday,04
0.005093,2018,25,Wednesday,04
0.005627,2018,26,Thursday,04
0.005422,2018,27,Friday,04
0.005357,2018,28,Saturday,04
0.005459,2018,29,Sunday,04
0.00521,2018,30,Monday,04
0.005144,2018,01,Tuesday,05
0.005273,2018,02,Wednesday,05
0.005641,2018,03,Thursday,05
0.005269,2018,04,Friday,05
0.00518,2018,05,Saturday,05
0.00497,2018,06,Sunday,05
0.004817,2018,07,Monday,05
0.005303,2018,08,Tuesday,05
0.005093,2018,09,Wednesday,05
0.00487,2018,10,Thursday,05
0.004362,2018,11,Friday,05
0.004473,2018,12,Saturday,05
0.004329,2018,13,Sunday,05
0.00446,2018,14,Monday,05
0.004515,2018,15,Tuesday,05
0.004385,2018,16,Wednesday,05
0.004188,2018,17,Thursday,05
0.004017,2018,18,Friday,05
0.004286,2018,19,Saturday,05
0.004423,2018,20,Sunday,05
0.004271,2018,21,Monday,05
0.003851,2018,22,Tuesday,05
0.003591,2018,23,Wednesday,05
0.003499,2018,24,Thursday,05
0.003514,2018,25,Friday,05
0.003463,2018,26,Saturday,05
0.003424,2018,27,Sunday,05
0.003226,2018,28,Monday,05
0.003437,2018,29,Tuesday,05
0.003354,2018,30,Wednesday,05
0.003398,2018,31,Thursday,05
0.003423,2018,01,Friday,06
0.003558,2018,02,Saturday,06
0.00369,2018,03,Sunday,06
0.003532,2018,04,Monday,06
0.003654,2018,05,Tuesday,06
0.003787,2018,06,Wednesday,06
0.003732,2018,07,Thursday,06
0.003659,2018,08,Friday,06
0.003593,2018,09,Saturday,06
0.003182,2018,10,Sunday,06
0.003234,2018,11,Monday,06
0.003089,2018,12,Tuesday,06
0.002817,2018,13,Wednesday,06
0.002944,2018,14,Thursday,06
0.002901,2018,15,Friday,06
0.002895,2018,16,Saturday,06
0.002873,2018,17,Sunday,06
0.003027,2018,18,Monday,06
0.003033,2018,19,Tuesday,06
0.003021,2018,20,Wednesday,06
0.002988,2018,21,Thursday,06
0.002668,2018,22,Friday,06
0.002641,2018,23,Saturday,06
0.00251,2018,24,Sunday,06
0.002485,2018,25,Monday,06
0.002478,2018,26,Tuesday,06
0.002437,2018,27,Wednesday,06
0.002357,2018,28,Thursday,06
0.002427,2018,29,Friday,06
0.002499,2018,30,Saturday,06
0.002489,2018,01,Sunday,07
0.002703,2018,02,Monday,07
0.002638,2018,03,Tuesday,07
0.00268,2018,04,Wednesday,07
0.002599,2018,05,Thursday,07
0.002597,2018,06,Friday,07
0.002645,2018,07,Saturday,07
0.002611,2018,08,Sunday,07
0.002603,2018,09,Monday,07
0.002411,2018,10,Tuesday,07
0.002425,2018,11,Wednesday,07
0.002306,2018,12,Thursday,07
0.002332,2018,13,Friday,07
0.002362,2018,14,Saturday,07
0.00238,2018,15,Sunday,07
0.002854,2018,16,Monday,07
0.003228,2018,17,Tuesday,07
0.003712,2018,18,Wednesday,07
0.003844,2018,19,Thursday,07
0.00341,2018,20,Friday,07
0.00327,2018,21,Saturday,07
0.003458,2018,22,Sunday,07
0.003431,2018,23,Monday,07
0.00362,2018,24,Tuesday,07
0.003543,2018,25,Wednesday,07
0.003393,2018,26,Thursday,07
0.003418,2018,27,Friday,07
0.0034,2018,28,Saturday,07
0.003307,2018,29,Sunday,07
0.003273,2018,30,Monday,07
0.002945,2018,31,Tuesday,07
0.00316,2018,01,Wednesday,08
0.002946,2018,02,Thursday,08
0.002918,2018,03,Friday,08
0.002745,2018,04,Saturday,08
0.002837,2018,05,Sunday,08
0.002779,2018,06,Monday,08
0.002671,2018,07,Tuesday,08
0.002415,2018,08,Wednesday,08
0.002555,2018,09,Thursday,08
0.002392,2018,10,Friday,08
0.002404,2018,11,Saturday,08
0.002404,2018,12,Sunday,08
0.002331,2018,13,Monday,08
0.00226,2018,14,Tuesday,08
0.002303,2018,15,Wednesday,08
0.002292,2018,16,Thursday,08
0.002455,2018,17,Friday,08
0.002394,2018,18,Saturday,08
0.002473,2018,19,Sunday,08
0.002369,2018,20,Monday,08
0.002424,2018,21,Tuesday,08
0.002315,2018,22,Wednesday,08
0.002385,2018,23,Thursday,08
0.002426,2018,24,Friday,08
0.00237,2018,25,Saturday,08
0.002404,2018,26,Sunday,08
0.002462,2018,27,Monday,08
0.002607,2018,28,Tuesday,08
0.002606,2018,29,Wednesday,08
0.003206,2018,30,Thursday,08
0.004794,2018,31,Friday,08
0.006278,2018,01,Saturday,09
0.004999,2018,02,Sunday,09
0.005266,2018,03,Monday,09
0.005269,2018,04,Tuesday,09
0.004931,2018,05,Wednesday,09
0.00501,2018,06,Thursday,09
0.005307,2018,07,Friday,09
0.005692,2018,08,Saturday,09
0.005829,2018,09,Sunday,09
0.006892,2018,10,Monday,09
0.006329,2018,11,Tuesday,09
0.006455,2018,12,Wednesday,09
0.006554,2018,13,Thursday,09
0.00618,2018,14,Friday,09
0.006165,2018,15,Saturday,09
0.006531,2018,16,Sunday,09
0.006243,2018,17,Monday,09
0.005981,2018,18,Tuesday,09
0.005609,2018,19,Wednesday,09
0.005695,2018,20,Thursday,09
0.005684,2018,21,Friday,09
0.005758,2018,22,Saturday,09
0.005901,2018,23,Sunday,09
0.005677,2018,24,Monday,09
0.005686,2018,25,Tuesday,09
0.005695,2018,26,Wednesday,09
0.005879,2018,27,Thursday,09
0.005831,2018,28,Friday,09
0.005865,2018,29,Saturday,09
0.005906,2018,30,Sunday,09
0.005942,2018,01,Monday,10
0.005824,2018,02,Tuesday,10
0.005704,2018,03,Wednesday,10
0.005645,2018,04,Thursday,10
0.005669,2018,05,Friday,10
0.005545,2018,06,Saturday,10
0.005562,2018,07,Sunday,10
0.005578,2018,08,Monday,10
0.005635,2018,09,Tuesday,10
0.005552,2018,10,Wednesday,10
0.005,2018,11,Thursday,10
0.005247,2018,12,Friday,10
0.005182,2018,13,Saturday,10
0.005158,2018,14,Sunday,10
0.005218,2018,15,Monday,10
0.005017,2018,16,Tuesday,10
0.004599,2018,17,Wednesday,10
0.004386,2018,18,Thursday,10
0.00447,2018,19,Friday,10
0.004551,2018,20,Saturday,10
0.004517,2018,21,Sunday,10
0.004366,2018,22,Monday,10
0.004172,2018,23,Tuesday,10
0.003911,2018,24,Wednesday,10
0.003717,2018,25,Thursday,10
0.003984,2018,26,Friday,10
0.004195,2018,27,Saturday,10
0.004063,2018,28,Sunday,10
0.003847,2018,29,Monday,10
0.00385,2018,30,Tuesday,10
0.003764,2018,31,Wednesday,10
0.003777,2018,01,Thursday,11
0.003773,2018,02,Friday,11
0.003733,2018,03,Saturday,11
0.003676,2018,04,Sunday,11
0.003622,2018,05,Monday,11
0.003696,2018,06,Tuesday,11
0.003637,2018,07,Wednesday,11
0.003384,2018,08,Thursday,11
0.00314,2018,09,Friday,11
0.003285,2018,10,Saturday,11
0.003162,2018,11,Sunday,11
0.003064,2018,12,Monday,11
0.002945,2018,13,Tuesday,11
0.002695,2018,14,Wednesday,11
0.0028,2018,15,Thursday,11
0.002746,2018,16,Friday,11
0.002595,2018,17,Saturday,11
0.002643,2018,18,Sunday,11
0.002418,2018,19,Monday,11
0.002254,2018,20,Tuesday,11
0.002448,2018,21,Wednesday,11
0.002412,2018,22,Thursday,11
0.002361,2018,23,Friday,11
0.002224,2018,24,Saturday,11
0.00222,2018,25,Sunday,11
0.002099,2018,26,Monday,11
0.002087,2018,27,Tuesday,11
0.002246,2018,28,Wednesday,11
0.002241,2018,29,Thursday,11
0.002165,2018,30,Friday,11
0.00225,2018,01,Saturday,12
0.002246,2018,02,Sunday,12
0.002371,2018,03,Monday,12
0.002196,2018,04,Tuesday,12
0.00218,2018,05,Wednesday,12
0.002097,2018,06,Thursday,12
0.002104,2018,07,Friday,12
0.00212,2018,08,Saturday,12
0.002102,2018,09,Sunday,12
0.0021,2018,10,Monday,12
0.002088,2018,11,Tuesday,12
0.002111,2018,12,Wednesday,12
0.002065,2018,13,Thursday,12
0.00207,2018,14,Friday,12
0.002113,2018,15,Saturday,12
0.002125,2018,16,Sunday,12
0.002533,2018,17,Monday,12
0.002684,2018,18,Tuesday,12
0.00272,2018,19,Wednesday,12
0.002731,2018,20,Thursday,12
0.002545,2018,21,Friday,12
0.002502,2018,22,Saturday,12
0.002542,2018,23,Sunday,12
0.00254,2018,24,Monday,12
0.002404,2018,25,Tuesday,12
0.002474,2018,26,Wednesday,12
0.002364,2018,27,Thursday,12
0.002434,2018,28,Friday,12
0.002403,2018,29,Saturday,12
0.002367,2018,30,Sunday,12
0.002346,2018,31,Monday,12
0.002392,2019,01,Tuesday,01
0.002407,2019,02,Wednesday,01
0.00236,2019,03,Thursday,01
0.002315,2019,04,Friday,01
0.002319,2019,05,Saturday,01
0.002328,2019,06,Sunday,01
0.002285,2019,07,Monday,01
0.002276,2019,08,Tuesday,01
0.002266,2019,09,Wednesday,01
0.002132,2019,10,Thursday,01
0.002129,2019,11,Friday,01
0.002148,2019,12,Saturday,01
0.002094,2019,13,Sunday,01
0.002183,2019,14,Monday,01
0.002111,2019,15,Tuesday,01
0.002138,2019,16,Wednesday,01
0.002094,2019,17,Thursday,01
0.002106,2019,18,Friday,01
0.002153,2019,19,Saturday,01
0.002119,2019,20,Sunday,01
0.002101,2019,21,Monday,01
0.002057,2019,22,Tuesday,01
0.002043,2019,23,Wednesday,01
0.002039,2019,24,Thursday,01
0.002118,2019,25,Friday,01
0.002083,2019,26,Saturday,01
0.002027,2019,27,Sunday,01
0.001944,2019,28,Monday,01
0.001927,2019,29,Tuesday,01
0.001961,2019,30,Wednesday,01
0.001925,2019,31,Thursday,01
0.001916,2019,01,Friday,02
0.001936,2019,02,Saturday,02
0.001904,2019,03,Sunday,02
0.001896,2019,04,Monday,02
0.001888,2019,05,Tuesday,02
0.001866,2019,06,Wednesday,02
0.001845,2019,07,Thursday,02
0.001956,2019,08,Friday,02
0.001949,2019,09,Saturday,02
0.001946,2019,10,Sunday,02
0.001906,2019,11,Monday,02
0.001894,2019,12,Tuesday,02
0.001893,2019,13,Wednesday,02
0.001897,2019,14,Thursday,02
0.001908,2019,15,Friday,02
0.001924,2019,16,Saturday,02
0.001992,2019,17,Sunday,02
0.002114,2019,18,Monday,02
0.002067,2019,19,Tuesday,02
0.002079,2019,20,Wednesday,02
0.002028,2019,21,Thursday,02
0.002056,2019,22,Friday,02
0.002083,2019,23,Saturday,02
0.001974,2019,24,Sunday,02
0.00203,2019,25,Monday,02
0.002023,2019,26,Tuesday,02
0.002019,2019,27,Wednesday,02
0.001976,2019,28,Thursday,02
0.001994,2019,01,Friday,03
0.002003,2019,02,Saturday,03
0.001999,2019,03,Sunday,03
0.001982,2019,04,Monday,03
0.001985,2019,05,Tuesday,03
0.001983,2019,06,Wednesday,03
0.001991,2019,07,Thursday,03
0.00198,2019,08,Friday,03
0.001998,2019,09,Saturday,03
0.001999,2019,10,Sunday,03
0.001966,2019,11,Monday,03
0.002012,2019,12,Tuesday,03
0.002025,2019,13,Wednesday,03
0.002039,2019,14,Thursday,03
0.002048,2019,15,Friday,03
0.002077,2019,16,Saturday,03
0.002081,2019,17,Sunday,03
0.002083,2019,18,Monday,03
0.002091,2019,19,Tuesday,03
0.002061,2019,20,Wednesday,03
0.002054,2019,21,Thursday,03
0.002052,2019,22,Friday,03
0.002064,2019,23,Saturday,03
0.002054,2019,24,Sunday,03
0.002043,2019,25,Monday,03
0.002054,2019,26,Tuesday,03
0.002085,2019,27,Wednesday,03
0.002074,2019,28,Thursday,03
0.002087,2019,29,Friday,03
0.00208,2019,30,Saturday,03
0.00208,2019,31,Sunday,03
0.002461,2019,01,Monday,04
0.002795,2019,02,Tuesday,04
0.003164,2019,03,Wednesday,04
0.003697,2019,04,Thursday,04
0.00359,2019,05,Friday,04
0.003439,2019,06,Saturday,04
0.003418,2019,07,Sunday,04
0.003045,2019,08,Monday,04
0.002884,2019,09,Tuesday,04
0.003021,2019,10,Wednesday,04
0.002789,2019,11,Thursday,04
0.002856,2019,12,Friday,04
0.002872,2019,13,Saturday,04
0.002882,2019,14,Sunday,04
0.00279,2019,15,Monday,04
0.002835,2019,16,Tuesday,04
0.00281,2019,17,Wednesday,04
0.002946,2019,18,Thursday,04
0.002893,2019,19,Friday,04
0.002902,2019,20,Saturday,04
0.00276,2019,21,Sunday,04
0.002798,2019,22,Monday,04
0.002772,2019,23,Tuesday,04
0.002599,2019,24,Wednesday,04
0.002506,2019,25,Thursday,04
0.002519,2019,26,Friday,04
0.002516,2019,27,Saturday,04
0.002531,2019,28,Sunday,04
0.002466,2019,29,Monday,04
0.002513,2019,30,Tuesday,04
0.002521,2019,01,Wednesday,05
0.002611,2019,02,Thursday,05
0.002721,2019,03,Friday,05
0.00268,2019,04,Saturday,05
0.002653,2019,05,Sunday,05
0.002542,2019,06,Monday,05
0.002536,2019,07,Tuesday,05
0.002537,2019,08,Wednesday,05
0.0025,2019,09,Thursday,05
0.002522,2019,10,Friday,05
0.002754,2019,11,Saturday,05
0.002665,2019,12,Sunday,05
0.002756,2019,13,Monday,05
0.003068,2019,14,Tuesday,05
0.003308,2019,15,Wednesday,05
0.003168,2019,16,Thursday,05
0.002962,2019,17,Friday,05
0.003005,2019,18,Saturday,05
0.003178,2019,19,Sunday,05
0.003041,2019,20,Monday,05
0.003086,2019,21,Tuesday,05
0.002939,2019,22,Wednesday,05
0.002961,2019,23,Thursday,05
0.002995,2019,24,Friday,05
0.002991,2019,25,Saturday,05
0.003092,2019,26,Sunday,05
0.003141,2019,27,Monday,05
0.003148,2019,28,Tuesday,05
0.003127,2019,29,Wednesday,05
0.003258,2019,30,Thursday,05
0.003441,2019,31,Friday,05
0.003419,2019,01,Saturday,06
0.003398,2019,02,Sunday,06
0.003198,2019,03,Monday,06
0.003042,2019,04,Tuesday,06
0.00307,2019,05,Wednesday,06
0.003087,2019,06,Thursday,06
0.00311,2019,07,Friday,06
0.003084,2019,08,Saturday,06
0.003012,2019,09,Sunday,06
0.003091,2019,10,Monday,06
0.003058,2019,11,Tuesday,06
0.003067,2019,12,Wednesday,06
0.003074,2019,13,Thursday,06
0.003124,2019,14,Friday,06
0.003157,2019,15,Saturday,06
0.003186,2019,16,Sunday,06
0.00319,2019,17,Monday,06
